updates,num_episodes,num_timesteps,mean,median,min,max
10,8,5632,-0.11,-0.1,-0.15,-0.08
20,20,10752,-0.07,-0.07,-0.11,0.03
30,28,15872,-0.07,-0.08,-0.14,0.03
40,40,20992,-0.1,-0.1,-0.15,-0.06
50,52,26112,-0.04,-0.03,-0.09,0.02
60,60,31232,-0.23,-0.1,-1.38,0.02
70,72,36352,-0.05,-0.05,-0.24,0.04
80,80,41472,-0.01,-0.03,-0.24,0.12
90,92,46592,0.06,0.07,-0.04,0.13
100,100,51712,0.06,0.11,-0.11,0.14
110,112,56832,0.14,0.11,0.07,0.46
120,120,61952,0.13,0.12,-0.04,0.46
130,132,67072,0.1,0.13,-0.05,0.19
140,144,72192,0.12,0.16,-0.03,0.17
150,152,77312,0.11,0.15,-0.02,0.19
160,164,82432,0.12,0.15,-0.01,0.24
170,172,87552,0.15,0.17,0.01,0.27
180,184,92672,0.12,0.13,-0.05,0.33
190,192,97792,0.15,0.21,-0.2,0.33
200,204,102912,0.2,0.22,-0.05,0.79
210,216,108032,0.18,0.24,0.02,0.33
220,224,113152,0.12,0.05,0.03,0.43
230,236,118272,0.13,0.25,-0.63,0.42
240,244,123392,0.19,0.14,-0.11,0.58
250,256,128512,0.34,0.31,-0.09,1.01
260,264,133632,0.32,0.32,-0.0,0.58
270,276,138752,0.51,0.56,0.11,0.61
280,284,143872,0.37,0.46,-0.17,0.62
290,296,148992,0.43,0.53,-0.02,0.69
300,308,154112,0.76,0.74,0.45,1.05
310,316,159232,0.68,0.74,-0.12,1.02
320,328,164352,0.75,0.83,-0.03,1.01
330,336,169472,0.69,0.73,0.07,1.03
340,348,174592,0.36,0.28,-0.11,1.03
350,356,179712,0.63,0.6,0.02,1.04
360,368,184832,0.54,0.44,0.09,1.02
370,376,189952,0.79,1.0,0.26,1.05
380,388,195072,0.93,1.01,0.57,1.03
390,400,200192,0.78,0.79,0.45,1.03
400,408,205312,0.79,0.92,-0.02,1.02
410,420,210432,0.74,0.77,0.1,1.03
420,428,215552,0.93,1.0,0.62,1.02
430,440,220672,0.76,0.85,0.23,1.05
440,448,225792,0.82,1.01,0.46,1.02
450,460,230912,0.58,0.58,0.17,1.01
460,472,236032,0.7,0.77,-0.06,1.04
470,480,241152,0.81,0.92,0.42,1.04
480,492,246272,0.73,0.62,0.47,1.01
490,500,251392,0.75,0.8,0.33,1.02
500,512,256512,0.68,0.6,0.29,1.02
510,520,261632,0.77,0.85,0.41,1.03
520,532,266752,0.74,0.65,0.47,1.04
530,540,271872,0.71,0.59,0.47,1.0
540,552,276992,0.86,1.0,0.6,1.02
550,564,282112,0.81,0.82,0.54,1.01
560,572,287232,0.9,0.99,0.59,1.05
570,584,292352,1.0,1.01,0.96,1.03
580,592,297472,0.84,1.0,0.04,1.02
590,604,302592,0.87,0.98,0.6,1.03
600,612,307712,0.93,1.02,0.23,1.04
610,624,312832,0.92,1.01,0.58,1.03
620,632,317952,0.89,1.0,0.32,1.03
630,644,323072,0.98,1.0,0.76,1.03
640,656,328192,0.9,1.0,0.61,1.03
650,664,333312,1.0,1.01,0.9,1.09
660,676,338432,0.94,1.02,0.6,1.04
670,684,343552,0.91,1.01,0.31,1.02
680,696,348672,0.9,1.01,0.11,1.03
690,704,353792,0.72,0.84,0.11,1.01
700,716,358912,0.97,1.01,0.49,1.06
710,728,364032,0.85,1.01,-0.06,1.03
720,736,369152,0.89,1.01,0.61,1.03
730,748,374272,0.82,1.01,-0.25,1.02
740,756,379392,0.81,0.99,-0.25,1.04
750,768,384512,0.95,1.01,0.64,1.04
760,776,389632,1.02,1.02,1.01,1.05
770,788,394752,1.02,1.03,0.96,1.06
780,796,399872,1.02,1.02,0.96,1.04
790,808,404992,0.99,1.02,0.74,1.03
800,820,410112,0.93,1.02,0.49,1.04
810,828,415232,0.98,1.03,0.62,1.04
820,840,420352,0.74,1.02,-0.13,1.03
830,848,425472,0.76,1.01,-0.13,1.28
840,860,430592,0.71,1.02,0.02,1.05
850,868,435712,0.76,1.02,-0.31,1.05
860,880,440832,1.01,1.02,0.78,1.15
870,888,445952,0.98,1.02,0.61,1.06
880,900,451072,0.95,1.02,0.26,1.1
890,912,456192,0.97,1.02,0.41,1.06
900,920,461312,0.88,1.02,0.26,1.04
910,932,466432,1.03,1.02,1.01,1.06
920,940,471552,1.03,1.02,1.02,1.05
930,952,476672,0.95,1.02,0.28,1.06
940,960,481792,0.95,1.02,0.28,1.05
950,972,486912,1.03,1.03,1.01,1.05
960,984,492032,1.04,1.03,1.02,1.07
970,992,497152,1.03,1.03,1.01,1.07
980,1004,502272,1.03,1.03,1.01,1.09
990,1012,507392,1.04,1.03,1.02,1.09
1000,1024,512512,1.06,1.06,1.04,1.07
