updates,num_episodes,num_timesteps,mean,median,min,max
10,8,5632,-0.96,-0.96,-1.2,-0.53
20,20,10752,-0.75,-0.72,-1.24,-0.21
30,28,15872,-0.84,-1.08,-1.42,-0.07
40,40,20992,-0.64,-0.27,-1.51,-0.21
50,52,26112,-0.2,-0.22,-0.25,-0.06
60,60,31232,-0.21,-0.21,-0.26,-0.17
70,72,36352,-0.3,-0.21,-1.34,-0.04
80,80,41472,-0.18,-0.2,-0.23,-0.04
90,92,46592,-0.2,-0.2,-0.32,-0.14
100,100,51712,-0.19,-0.2,-0.32,-0.05
110,112,56832,-0.14,-0.13,-0.28,-0.04
120,120,61952,-0.29,-0.2,-1.25,-0.05
130,132,67072,-0.15,-0.15,-0.2,-0.06
140,144,72192,-0.13,-0.13,-0.19,-0.06
150,152,77312,-0.15,-0.16,-0.2,-0.06
160,164,82432,-0.1,-0.1,-0.19,-0.04
170,172,87552,-0.1,-0.11,-0.13,-0.04
180,184,92672,-0.13,-0.13,-0.21,-0.07
190,192,97792,-0.12,-0.1,-0.26,-0.03
200,204,102912,-0.22,-0.14,-1.19,-0.04
210,216,108032,-0.1,-0.11,-0.19,0.01
220,224,113152,-0.12,-0.12,-0.27,0.01
230,236,118272,-0.13,-0.12,-0.21,-0.09
240,244,123392,-0.12,-0.11,-0.18,-0.09
250,256,128512,-0.12,-0.13,-0.18,-0.03
260,264,133632,-0.1,-0.11,-0.17,-0.04
270,276,138752,-0.13,-0.12,-0.22,-0.03
280,284,143872,-0.12,-0.12,-0.15,-0.09
290,296,148992,-0.11,-0.12,-0.17,-0.04
300,308,154112,-0.1,-0.1,-0.15,-0.0
310,316,159232,-0.09,-0.09,-0.15,0.01
320,328,164352,-0.08,-0.11,-0.15,0.0
330,336,169472,-0.11,-0.11,-0.14,-0.07
340,348,174592,-0.1,-0.1,-0.12,-0.08
350,356,179712,-0.08,-0.1,-0.12,-0.0
360,368,184832,-0.09,-0.1,-0.13,0.01
370,376,189952,-0.08,-0.11,-0.13,0.02
380,388,195072,-0.1,-0.1,-0.12,-0.09
390,400,200192,-0.1,-0.1,-0.13,-0.09
400,408,205312,-0.1,-0.1,-0.16,-0.09
410,420,210432,-0.11,-0.11,-0.13,-0.08
420,428,215552,-0.1,-0.1,-0.11,-0.06
430,440,220672,-0.1,-0.1,-0.12,-0.06
440,448,225792,-0.09,-0.1,-0.12,-0.06
450,460,230912,-0.09,-0.09,-0.11,-0.07
460,472,236032,-0.09,-0.1,-0.17,-0.05
470,480,241152,-0.08,-0.09,-0.15,0.0
480,492,246272,-0.06,-0.08,-0.11,0.01
490,500,251392,-0.06,-0.06,-0.09,-0.03
500,512,256512,-0.07,-0.07,-0.11,-0.04
510,520,261632,-0.06,-0.06,-0.09,-0.02
520,532,266752,-0.05,-0.04,-0.09,-0.01
530,540,271872,-0.04,-0.04,-0.08,-0.0
540,552,276992,-0.04,-0.04,-0.07,0.02
550,564,282112,0.01,-0.01,-0.05,0.23
560,572,287232,0.0,-0.03,-0.06,0.23
570,584,292352,0.06,-0.0,-0.05,0.36
580,592,297472,0.2,0.18,-0.07,0.53
590,604,302592,0.12,-0.0,-0.1,0.49
600,612,307712,0.26,0.36,-0.03,0.49
610,624,312832,0.2,0.24,-0.05,0.45
620,632,317952,0.25,0.34,-0.03,0.5
630,644,323072,0.3,0.39,-0.02,0.63
640,656,328192,0.48,0.48,0.28,0.68
650,664,333312,0.4,0.48,0.03,0.55
660,676,338432,0.49,0.49,0.3,0.62
670,684,343552,0.56,0.53,0.44,0.85
680,696,348672,0.7,0.6,0.45,1.05
690,704,353792,0.81,0.81,0.46,1.11
700,716,358912,0.84,0.8,0.5,1.14
