updates,num_episodes,num_timesteps,mean,median,min,max
10,8,5632,0.18,0.17,-0.06,0.36
20,20,10752,0.27,0.25,-0.03,0.55
30,28,15872,0.35,0.27,0.2,0.82
40,40,20992,0.43,0.3,0.22,0.94
50,52,26112,0.58,0.54,0.29,0.98
60,60,31232,0.58,0.56,0.28,1.05
70,72,36352,0.61,0.59,0.33,0.89
80,80,41472,0.79,0.76,0.57,1.01
90,92,46592,0.92,0.97,0.62,1.07
100,100,51712,1.01,1.06,0.7,1.12
110,112,56832,1.03,1.03,0.87,1.13
120,120,61952,1.03,1.08,0.6,1.13
130,132,67072,1.09,1.09,0.97,1.16
140,144,72192,1.08,1.1,0.94,1.15
150,152,77312,1.12,1.12,1.06,1.19
160,164,82432,1.17,1.18,1.06,1.22
170,172,87552,1.18,1.19,1.12,1.25
180,184,92672,1.23,1.24,1.17,1.35
190,192,97792,1.24,1.26,1.13,1.31
200,204,102912,1.25,1.23,1.17,1.44
210,216,108032,1.27,1.27,1.17,1.35
220,224,113152,1.49,1.35,1.24,1.93
230,236,118272,1.5,1.43,1.27,2.0
240,244,123392,1.6,1.62,1.27,1.93
250,256,128512,1.64,1.65,1.2,1.99
260,264,133632,1.6,1.57,1.21,1.98
270,276,138752,1.79,1.89,1.48,1.99
280,284,143872,1.64,1.59,1.34,1.92
290,296,148992,1.73,1.71,1.49,2.01
300,308,154112,1.79,1.88,1.31,2.06
310,316,159232,1.82,1.9,1.19,2.07
320,328,164352,1.84,1.88,1.51,2.04
330,336,169472,1.82,1.8,1.59,2.04
340,348,174592,2.02,2.03,1.81,2.14
350,356,179712,1.97,2.0,1.64,2.13
360,368,184832,1.94,1.97,1.77,2.09
370,376,189952,1.98,2.03,1.71,2.14
380,388,195072,2.02,2.07,1.67,2.15
390,400,200192,1.92,2.01,1.5,2.14
400,408,205312,1.93,1.92,1.38,2.15
410,420,210432,2.06,2.09,1.87,2.15
420,428,215552,2.05,2.07,1.87,2.12
430,440,220672,2.05,2.07,1.77,2.17
440,448,225792,2.11,2.14,1.77,2.19
450,460,230912,2.07,2.14,1.57,2.18
460,472,236032,2.11,2.16,1.89,2.2
470,480,241152,2.12,2.16,1.98,2.19
480,492,246272,2.13,2.15,1.95,2.17
490,500,251392,2.16,2.17,2.12,2.2
500,512,256512,2.17,2.17,2.13,2.21
510,520,261632,2.17,2.17,2.11,2.21
520,532,266752,2.14,2.17,1.99,2.19
530,540,271872,2.16,2.16,2.1,2.22
540,552,276992,2.18,2.18,2.15,2.24
550,564,282112,2.14,2.14,2.11,2.19
560,572,287232,2.15,2.15,2.12,2.18
570,584,292352,2.18,2.17,2.14,2.23
580,592,297472,2.13,2.18,1.64,2.22
590,604,302592,2.18,2.18,2.12,2.23
600,612,307712,2.18,2.18,2.15,2.22
610,624,312832,2.18,2.18,2.13,2.25
620,632,317952,2.18,2.18,2.15,2.23
630,644,323072,2.16,2.18,2.0,2.22
640,656,328192,2.18,2.16,2.12,2.3
650,664,333312,2.18,2.17,2.13,2.24
660,676,338432,2.18,2.18,2.15,2.22
670,684,343552,2.17,2.17,2.15,2.2
680,696,348672,2.17,2.17,2.14,2.21
690,704,353792,2.16,2.17,2.12,2.21
700,716,358912,2.18,2.18,2.13,2.24
710,728,364032,2.15,2.14,2.11,2.2
720,736,369152,2.17,2.17,2.14,2.2
730,748,374272,2.16,2.15,2.12,2.2
740,756,379392,2.18,2.18,2.12,2.28
750,768,384512,2.17,2.18,2.13,2.22
760,776,389632,2.18,2.18,2.15,2.22
770,788,394752,2.2,2.19,2.15,2.29
780,796,399872,2.18,2.17,2.12,2.29
790,808,404992,2.18,2.16,2.12,2.3
800,820,410112,2.17,2.16,2.1,2.25
810,828,415232,2.2,2.21,2.11,2.27
820,840,420352,2.19,2.18,2.13,2.26
830,848,425472,2.18,2.17,2.13,2.25
840,860,430592,2.2,2.19,2.13,2.28
850,868,435712,2.2,2.2,2.14,2.28
860,880,440832,2.19,2.18,2.15,2.26
870,888,445952,2.18,2.16,2.11,2.27
880,900,451072,2.17,2.16,2.14,2.25
890,912,456192,2.17,2.17,2.11,2.23
900,920,461312,2.18,2.18,2.12,2.26
910,932,466432,2.2,2.19,2.13,2.27
920,940,471552,2.2,2.21,2.12,2.31
930,952,476672,2.17,2.17,2.12,2.22
940,960,481792,2.2,2.2,2.13,2.26
950,972,486912,2.19,2.2,2.07,2.26
960,984,492032,2.19,2.19,2.14,2.26
970,992,497152,2.24,2.24,2.13,2.33
980,1004,502272,2.18,2.18,2.12,2.25
990,1012,507392,2.22,2.22,2.17,2.27
1000,1024,512512,2.19,2.18,2.13,2.26
