#{"t_start": 1730311281.9641733, "env_id": "BridgeWalker-v0"}
r,l,t
1.747428,500,6.830222
1.747428,500,13.653597
1.747428,500,20.558915
1.747428,500,27.289445
1.747428,500,34.069947
1.747428,500,40.890357
1.747428,500,47.703724
1.747428,500,54.355846
1.747428,500,61.094464
1.747428,500,67.869968
1.747428,500,74.677209
1.747428,500,81.470635
1.747428,500,88.219851
