updates,num_episodes,num_timesteps,mean,median,min,max
10,8,5632,-0.23,-0.06,-1.31,0.03
20,20,10752,0.09,0.1,-0.08,0.26
30,28,15872,0.16,0.2,-0.04,0.29
40,40,20992,0.16,0.24,-0.65,0.5
50,52,26112,0.33,0.36,-0.13,0.56
60,60,31232,0.56,0.48,0.29,1.03
70,72,36352,0.48,0.38,0.24,0.95
80,80,41472,0.67,0.66,0.29,1.01
90,92,46592,0.86,0.97,0.41,1.1
100,100,51712,0.96,1.02,0.55,1.1
110,112,56832,0.95,1.03,0.56,1.08
120,120,61952,1.08,1.09,1.03,1.12
130,132,67072,1.09,1.09,1.05,1.13
140,144,72192,1.09,1.1,1.05,1.14
150,152,77312,1.1,1.1,1.06,1.14
160,164,82432,1.11,1.11,1.09,1.13
170,172,87552,1.11,1.11,1.1,1.13
180,184,92672,1.1,1.1,1.08,1.13
190,192,97792,1.11,1.08,1.07,1.31
200,204,102912,1.15,1.12,1.06,1.34
210,216,108032,1.2,1.15,1.11,1.45
220,224,113152,1.18,1.15,1.1,1.38
230,236,118272,1.25,1.18,1.11,1.76
240,244,123392,1.27,1.22,1.1,1.63
250,256,128512,1.23,1.19,1.11,1.57
260,264,133632,1.33,1.34,1.11,1.61
270,276,138752,1.57,1.59,1.24,1.78
280,284,143872,1.56,1.49,1.23,2.04
290,296,148992,1.59,1.51,1.3,2.04
300,308,154112,1.59,1.54,1.22,1.96
310,316,159232,1.69,1.63,1.32,2.05
320,328,164352,1.58,1.52,1.27,2.08
330,336,169472,1.67,1.73,1.18,2.05
340,348,174592,1.56,1.54,1.16,2.09
350,356,179712,1.63,1.56,1.18,2.06
360,368,184832,1.74,1.76,1.37,1.99
370,376,189952,1.59,1.66,1.34,1.81
380,388,195072,1.6,1.66,1.18,2.08
390,400,200192,1.82,1.95,1.18,2.07
400,408,205312,1.77,1.82,1.37,2.03
410,420,210432,1.73,1.76,1.18,2.07
420,428,215552,1.75,1.78,1.18,2.05
430,440,220672,1.82,1.86,1.56,2.06
440,448,225792,1.72,1.68,1.38,2.1
450,460,230912,1.75,1.81,1.33,2.06
460,472,236032,1.71,1.73,1.18,2.1
470,480,241152,1.74,1.79,1.17,2.07
480,492,246272,1.82,1.82,1.48,2.06
490,500,251392,1.71,1.69,1.37,2.11
500,512,256512,1.77,1.97,1.27,2.12
510,520,261632,1.75,1.68,1.27,2.05
520,532,266752,1.88,1.97,1.41,2.08
530,540,271872,1.97,2.05,1.42,2.08
540,552,276992,1.79,1.92,1.37,2.09
550,564,282112,1.91,1.95,1.45,2.11
560,572,287232,1.94,2.03,1.45,2.11
570,584,292352,1.97,2.05,1.59,2.11
580,592,297472,2.01,2.05,1.81,2.11
590,604,302592,1.9,1.92,1.56,2.09
600,612,307712,1.91,2.03,1.16,2.09
610,624,312832,1.86,1.97,1.29,2.08
620,632,317952,1.98,1.99,1.78,2.1
630,644,323072,1.74,1.78,1.42,2.08
640,656,328192,1.77,1.8,1.35,2.11
650,664,333312,1.85,1.99,1.35,2.08
660,676,338432,1.88,1.99,1.44,2.11
670,684,343552,1.9,2.01,1.44,2.12
680,696,348672,1.95,2.01,1.66,2.07
690,704,353792,1.96,2.0,1.7,2.11
700,716,358912,1.94,1.96,1.57,2.1
710,728,364032,2.01,2.04,1.84,2.13
720,736,369152,1.99,2.06,1.58,2.13
730,748,374272,1.9,2.0,1.46,2.11
740,756,379392,1.98,2.03,1.77,2.07
750,768,384512,1.94,2.03,1.34,2.1
760,776,389632,1.9,2.01,1.31,2.1
770,788,394752,1.95,2.01,1.11,2.12
780,796,399872,1.99,2.04,1.74,2.1
790,808,404992,1.8,1.89,1.29,2.13
800,820,410112,1.78,1.85,1.37,2.11
810,828,415232,1.78,1.89,1.27,2.08
820,840,420352,1.91,1.94,1.75,2.11
830,848,425472,1.95,1.98,1.61,2.11
840,860,430592,1.89,1.94,1.52,2.08
850,868,435712,1.92,2.04,1.35,2.08
860,880,440832,1.79,1.97,1.08,2.1
870,888,445952,1.7,2.02,1.03,2.1
880,900,451072,1.82,2.01,1.08,2.11
890,912,456192,2.01,2.06,1.72,2.12
900,920,461312,1.98,2.07,1.2,2.11
910,932,466432,1.97,2.06,1.41,2.1
920,940,471552,1.82,1.94,1.35,2.1
930,952,476672,2.05,2.06,1.97,2.12
940,960,481792,1.78,2.04,1.09,2.1
950,972,486912,1.7,2.03,1.01,2.14
960,984,492032,1.71,1.72,1.07,2.11
970,992,497152,1.87,2.02,1.4,2.11
980,1004,502272,1.64,1.89,1.04,2.08
990,1012,507392,1.65,1.72,1.03,2.1
1000,1024,512512,1.85,2.01,1.16,2.08
