#{"t_start": 1730303240.047475, "env_id": "BridgeWalker-v0"}
r,l,t
2.701978,500,7.336243
2.701978,500,14.247775
2.701978,500,21.064918
2.701978,500,27.933622
2.701978,500,34.749848
2.701978,500,41.623343
2.701978,500,48.424221
2.701978,500,55.245549
2.701978,500,62.559269
2.701978,500,69.455823
2.701978,500,76.417055
2.701978,500,83.338716
2.701978,500,90.197079
