#{"t_start": 1730318176.649406, "env_id": "BridgeWalker-v0"}
r,l,t
1.189026,500,8.585996
1.189026,500,18.380489
1.189026,500,31.458946
1.189026,500,41.385801
1.189026,500,50.236453
1.189026,500,58.539822
1.189026,500,66.435502
1.189026,500,74.29817
