#{"t_start": 1730315297.8447936, "env_id": "BridgeWalker-v0"}
r,l,t
0.754007,500,6.881423
0.754007,500,14.277318
0.754007,500,21.179879
0.754007,500,28.108891
0.754007,500,35.124243
0.754007,500,42.250095
0.754007,500,49.103523
0.754007,500,55.954988
0.754007,500,62.737518
0.754007,500,69.556597
0.754007,500,76.381681
0.754007,500,83.222849
0.754007,500,90.044489
