#{"t_start": 1730315297.7380795, "env_id": "BridgeWalker-v0"}
r,l,t
0.754007,500,6.989135
0.754007,500,14.380042
0.754007,500,21.287591
0.754007,500,28.214607
0.754007,500,35.231955
0.754007,500,42.357806
0.754007,500,49.210237
0.754007,500,56.061702
0.754007,500,62.844232
0.754007,500,69.664323
0.754007,500,76.488395
0.754007,500,83.331599
0.754007,500,90.152201
